entityType,nationality,dataSource,listType,firstName,lastName,party,constituency,URI
Individual,UK,http://www.theyworkforyou.com,PEP,Gordon,Birtwistle,Liberal Democrat,Burnley,http://www.theyworkforyou.com/mp/24793/gordon_birtwistle/burnley
Individual,UK,http://www.theyworkforyou.com,PEP,Bob,Blackman,Conservative,Harrow East,http://www.theyworkforyou.com/mp/24945/bob_blackman/harrow_east
Individual,UK,http://www.theyworkforyou.com,PEP,Roberta,Blackman-Woods,Labour,City of Durham,http://www.theyworkforyou.com/mp/11558/roberta_blackman-woods/city_of_durham
Individual,UK,http://www.theyworkforyou.com,PEP,Nicola,Blackwood,Conservative,Oxford West and Abingdon,http://www.theyworkforyou.com/mp/24842/nicola_blackwood/oxford_west_and_abingdon
Individual,UK,http://www.theyworkforyou.com,PEP,Hazel,Blears,Labour,Salford and Eccles,http://www.theyworkforyou.com/mp/10048/hazel_blears/salford_and_eccles
Individual,UK,http://www.theyworkforyou.com,PEP,Tom,Blenkinsop,Labour,Middlesbrough South and East Cleveland,http://www.theyworkforyou.com/mp/24848/tom_blenkinsop/middlesbrough_south_and_east_cleveland
Individual,UK,http://www.theyworkforyou.com,PEP,Paul,Blomfield,Labour,Sheffield Central,http://www.theyworkforyou.com/mp/24943/paul_blomfield/sheffield_central
Individual,UK,http://www.theyworkforyou.com,PEP,David,Blunkett,Labour,"Sheffield, Brightside and Hillsborough",http://www.theyworkforyou.com/mp/10050/david_blunkett/sheffield%2C_brightside_and_hillsborough
Individual,UK,http://www.theyworkforyou.com,PEP,Crispin,Blunt,Conservative,Reigate,http://www.theyworkforyou.com/mp/10051/crispin_blunt/reigate
Individual,UK,http://www.theyworkforyou.com,PEP,Nicholas,Boles,Conservative,Grantham and Stamford,http://www.theyworkforyou.com/mp/24766/nicholas_boles/grantham_and_stamford
Individual,UK,http://www.theyworkforyou.com,PEP,Peter,Bone,Conservative,Wellingborough,http://www.theyworkforyou.com/mp/11915/peter_bone/wellingborough
Individual,UK,http://www.theyworkforyou.com,PEP,Peter,Bottomley,Conservative,Worthing West,http://www.theyworkforyou.com/mp/10057/peter_bottomley/worthing_west
Individual,UK,http://www.theyworkforyou.com,PEP,Karen,Bradley,Conservative,Staffordshire Moorlands,http://www.theyworkforyou.com/mp/24725/karen_bradley/staffordshire_moorlands
Individual,UK,http://www.theyworkforyou.com,PEP,Ben,Bradshaw,Labour,Exeter,http://www.theyworkforyou.com/mp/10061/ben_bradshaw/exeter
Individual,UK,http://www.theyworkforyou.com,PEP,Graham,Brady,Conservative,Altrincham and Sale West,http://www.theyworkforyou.com/mp/10062/graham_brady/altrincham_and_sale_west
Individual,UK,http://www.theyworkforyou.com,PEP,Tom,Brake,Liberal Democrat,Carshalton and Wallington,http://www.theyworkforyou.com/mp/10063/tom_brake/carshalton_and_wallington
Individual,UK,http://www.theyworkforyou.com,PEP,Angie,Bray,Conservative,Ealing Central and Acton,http://www.theyworkforyou.com/mp/24952/angie_bray/ealing_central_and_acton
Individual,UK,http://www.theyworkforyou.com,PEP,Julian,Brazier,Conservative,Canterbury,http://www.theyworkforyou.com/mp/10065/julian_brazier/canterbury
Individual,UK,http://www.theyworkforyou.com,PEP,Kevin,Brennan,Labour,Cardiff West,http://www.theyworkforyou.com/mp/10753/kevin_brennan/cardiff_west
Individual,UK,http://www.theyworkforyou.com,PEP,Andrew,Bridgen,Conservative,North West Leicestershire,http://www.theyworkforyou.com/mp/24741/andrew_bridgen/north_west_leicestershire
Individual,UK,http://www.theyworkforyou.com,PEP,Steve,Brine,Conservative,Winchester,http://www.theyworkforyou.com/mp/24901/steve_brine/winchester
Individual,UK,http://www.theyworkforyou.com,PEP,James,Brokenshire,Conservative,Old Bexley and Sidcup,http://www.theyworkforyou.com/mp/11640/james_brokenshire/old_bexley_and_sidcup
Individual,UK,http://www.theyworkforyou.com,PEP,Annette,Brooke,Liberal Democrat,Mid Dorset and North Poole,http://www.theyworkforyou.com/mp/10754/annette_brooke/mid_dorset_and_north_poole
Individual,UK,http://www.theyworkforyou.com,PEP,Gordon,Brown,Labour,Kirkcaldy and Cowdenbeath,http://www.theyworkforyou.com/mp/10068/gordon_brown/kirkcaldy_and_cowdenbeath
Individual,UK,http://www.theyworkforyou.com,PEP,Lyn,Brown,Labour,West Ham,http://www.theyworkforyou.com/mp/11921/lyn_brown/west_ham
Individual,UK,http://www.theyworkforyou.com,PEP,Nick,Brown,Labour,Newcastle upon Tyne East,http://www.theyworkforyou.com/mp/10069/nick_brown/newcastle_upon_tyne_east
